,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
0,1,526301100,20,6,141.0,31770,0,-1.0,1,0,0,1,0,0,0,0,0,0,6,5,1960,1960,0,0,0,0,0,112.0,2,2,0,2.0,3.0,0,0,639.0,4,0.0,441.0,1080.0,0,1,1,0,1656,0,0,1656,1.0,0.0,1,0,3,1,2,7,0,2,3.0,0,1960.0,2.0,2.0,528.0,2.0,2.0,0,210,62,0,0,0,0,-1.0,-1,-1,0,5,2010,0,0,215000
1,2,526350040,20,5,80.0,11622,0,-1.0,0,0,0,0,0,0,1,0,0,0,5,6,1961,1961,1,0,1,1,-1,0.0,2,2,0,2.0,2.0,1,1,468.0,5,144.0,270.0,882.0,0,2,1,0,896,0,0,896,0.0,0.0,1,0,2,1,2,5,0,0,-1.0,0,1961.0,0.0,1.0,730.0,2.0,2.0,1,140,0,0,0,120,0,-1.0,1,-1,0,6,2010,0,0,105000
2,3,526351010,20,6,81.0,14267,0,-1.0,1,0,0,1,0,0,0,0,0,0,6,6,1958,1958,0,0,2,2,2,108.0,2,2,0,2.0,2.0,1,2,923.0,4,0.0,406.0,1329.0,0,2,1,0,1329,0,0,1329,0.0,0.0,1,1,3,1,3,6,0,0,-1.0,0,1958.0,0.0,1.0,312.0,2.0,2.0,1,393,36,0,0,0,0,-1.0,-1,1,12500,6,2010,0,0,172000
3,4,526353030,20,6,93.0,11160,0,-1.0,0,0,0,1,0,0,0,0,0,0,7,5,1968,1968,0,0,0,3,-1,0.0,3,2,0,2.0,2.0,1,2,1065.0,4,0.0,1045.0,2110.0,0,4,1,0,2110,0,0,2110,1.0,0.0,2,1,3,1,4,8,0,2,2.0,0,1968.0,2.0,2.0,522.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,4,2010,0,0,244000
4,5,527105010,60,6,74.0,13830,0,-1.0,1,0,0,0,0,1,0,0,0,1,5,5,1997,1998,1,0,1,1,-1,0.0,2,2,1,3.0,2.0,1,3,791.0,4,0.0,137.0,928.0,0,3,1,0,928,701,0,1629,0.0,0.0,2,1,3,1,2,6,0,1,2.0,0,1997.0,2.0,2.0,482.0,2.0,2.0,1,212,34,0,0,0,0,-1.0,1,-1,0,3,2010,0,0,189900
5,6,527105030,60,6,78.0,9978,0,-1.0,1,0,0,0,0,1,0,0,0,1,6,6,1998,1998,1,0,1,1,2,20.0,2,2,1,2.0,2.0,1,3,602.0,4,0.0,324.0,926.0,0,4,1,0,926,678,0,1604,0.0,0.0,2,1,3,1,3,7,0,1,3.0,0,1998.0,2.0,2.0,470.0,2.0,2.0,1,360,36,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,195500
6,7,527127150,120,6,41.0,4920,0,-1.0,0,0,0,0,0,2,0,0,3,0,8,5,2001,2001,1,0,3,4,-1,0.0,3,2,1,3.0,2.0,2,3,616.0,4,0.0,722.0,1338.0,0,4,1,0,1338,0,0,1338,1.0,0.0,2,0,2,1,3,6,0,0,-1.0,0,2001.0,2.0,2.0,582.0,2.0,2.0,1,0,0,170,0,0,0,-1.0,-1,-1,0,4,2010,0,0,213500
7,8,527145080,120,6,43.0,5005,0,-1.0,1,2,0,0,0,2,0,0,3,0,8,5,1992,1992,1,0,4,5,-1,0.0,3,2,1,3.0,2.0,1,2,263.0,4,0.0,1017.0,1280.0,0,4,1,0,1280,0,0,1280,0.0,0.0,2,0,2,1,3,5,0,0,-1.0,0,1992.0,1.0,2.0,506.0,2.0,2.0,1,0,82,0,0,144,0,-1.0,-1,-1,0,1,2010,0,0,191500
8,9,527146030,120,6,39.0,5389,0,-1.0,1,0,0,0,0,2,0,0,3,0,8,5,1995,1996,1,0,3,4,-1,0.0,3,2,1,3.0,2.0,1,3,1180.0,4,0.0,415.0,1595.0,0,4,1,0,1616,0,0,1616,1.0,0.0,2,0,2,1,3,5,0,1,2.0,0,1995.0,1.0,2.0,608.0,2.0,2.0,1,237,152,0,0,0,0,-1.0,-1,-1,0,3,2010,0,0,236500
9,10,527162130,60,6,60.0,7500,0,-1.0,0,0,0,0,0,1,0,0,0,1,7,5,1999,1999,1,0,1,1,-1,0.0,2,2,1,2.0,2.0,1,4,0.0,4,0.0,994.0,994.0,0,3,1,0,1028,776,0,1804,0.0,0.0,2,1,3,1,3,7,0,1,2.0,0,1999.0,2.0,2.0,442.0,2.0,2.0,1,140,60,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,189000
